feature,importance
hour,0.2616186985877294
umidade_relativa,0.12037228576977423
temp_change_1h,0.09679748784559597
radiacao_global,0.08448275581151067
pressao_atm_estacao,0.06842116200303996
humidity_trend_6h,0.06656194722693456
temp_humidity_interaction,0.05716193612271687
temp_change_3h,0.051342771924098675
pressure_change_1h,0.04176112843723869
pressure_change_3h,0.040733882415182866
month,0.025555797397982433
humidity_change_1h,0.015367249990964445
temperatura_max,0.015220957599330343
season,0.014469459965397726
pressure_temp_interaction,0.013827214028571053
temperatura_min,0.013799200094577836
weekday,0.008294506506515987
temperatura_ar,0.004211558272838207
